Release_liftover_manifest	submitted_anatomic_site	anatomic_site	laterality
Azenta WGS Set #5	Abdomen	abdomen	
Azenta WGS set #1 	abdomen-anterior	abdomen	
Azenta WGS set #1 	abdomen-lower	abdomen	
Azenta WGS set #3	abdomen-right	abdomen	Right
Azenta WGS Set #4	Abdomen-right lower	abdomen	Right
Azenta WGS set #2	Abdomen-right upper	abdomen	Right
Azenta WGS set #1 	Adrenal gland/adrenal cortex	adrenal cortex	
Azenta WGS set #1 	Adrenal gland/adrenal cortex-left	adrenal cortex	Left
Azenta WGS Set #5	Adrenal gland/adrenal cortex-left	adrenal cortex	Left
Azenta WGS set #1 	Adrenal gland/adrenal cortex-right	adrenal cortex	Right
Azenta WGS Set #5	Adrenal gland/adrenal cortex-right	adrenal cortex	Right
Release 50	Ankle, NOS	ankle joint	
Release 50	Anus, NOS (excludes skin of anus and perianal skin C44.5)	anus	
Azenta WGS set #3	Appendix	vermiform appendix	
Azenta WGS set #3	Arm-left	arm	Left
Azenta WGS set #3	Arm-right	arm	Right
Azenta WGS Set #4	Arm-right upper	arm	Right
Azenta WGS set #3	Bladder	urinary bladder	
Azenta WGS Set #4	Bladder-right	urinary bladder	Right
Azenta WGS Set #5	Blood	blood	
Release 50	Bone	bone element	
Azenta WGS Set #5	Bone marrow	bone marrow	
Azenta WGS Set #4	Bone, frontal-right	bone element	Right
Azenta WGS set #3	Bone, mandible-left	mandible	Left
Azenta WGS set #3	Bone, skull	skull	
Azenta WGS Set #5	Bone, spine	vertebral column	
Release 50	Bones of skull and face and associated joints (excludes mandible C41.1)	skull	
Azenta WGS Set #5	Brain  	brain	
Azenta WGS set #3	brain  -left	brain	Left
Azenta WGS Set #5	Brain  -left	brain	Left
Azenta WGS set #3	brain  -left anterior	brain	Left
Azenta WGS set #2	Brain  -midline	brain	Midline
Azenta WGS Set #5	Brain  -posterior	brain	
Azenta WGS set #3	brain  -right	brain	Right
Azenta WGS Set #5	Brain  -right	brain	Right
Azenta WGS set #3	brain  -supra	brain	
Azenta WGS set #1 	Brain -midline	brain  	Midline
Azenta WGS set #3	brain, 3rd ventricle	third ventricle	
Azenta WGS Set #5	Brain, 3rd ventricle	third ventricle	
Azenta WGS set #1 	Brain, 3rd ventricle-posterior	third ventricle	
Azenta WGS Set #5	Brain, 3rd ventricle-right	third ventricle	Right
Azenta WGS set #3	brain, 4th ventricle	fourth ventricle	
Azenta WGS Set #5	Brain, 4th ventricle	fourth ventricle	
Azenta WGS set #2	Brain, 4th ventricle-midline	fourth ventricle	Midline
Azenta WGS set #3	brain, brain stem	brainstem	
Azenta WGS Set #5	Brain, brain stem	brainstem	
Azenta WGS set #3	brain, brain stem-left	brainstem	Left
Azenta WGS set #2	Brain, brain stem-midline	brainstem	Midline
Azenta WGS set #2	Brain, brain stem-right	brainstem	Right
Azenta WGS set #3	brain, cerebellum	cerebellum	
Azenta WGS Set #5	Brain, cerebellum	cerebellum	
Azenta WGS set #3	brain, cerebellum-left	cerebellum	Left
Azenta WGS Set #5	Brain, cerebellum-left	cerebellum	Left
Azenta WGS set #1 	Brain, cerebellum-midline	cerebellum	Midline
Azenta WGS set #3	brain, cerebellum-right	cerebellum	Right
Azenta WGS Set #5	Brain, cerebellum-right	cerebellum	Right
Azenta WGS Set #5	Brain, cerebrum	cerebral hemisphere	
Azenta WGS set #3	brain, cerebrum-left	cerebral hemisphere	Left
Azenta WGS Set #5	Brain, cerebrum-left	cerebral hemisphere	Left
Azenta WGS set #2	Brain, cerebrum-right	cerebral hemisphere	Right
Azenta WGS set #3	brain, frontal lobe	frontal lobe	
Azenta WGS Set #5	Brain, frontal lobe	frontal lobe	
Azenta WGS set #3	brain, frontal lobe-left	frontal lobe	Left
Azenta WGS Set #5	Brain, frontal lobe-left	frontal lobe	Left
Azenta WGS set #3	brain, frontal lobe-right	frontal lobe	Right
Azenta WGS Set #5	Brain, frontal lobe-right	frontal lobe	Right
Azenta WGS set #2	Brain, frontal lobe-right posterior	frontal lobe	Right
Release 50	brain, NOS Intracranial site Cranial fossa, NOS Anterior cranial fossa Middle cranial fossa Posterior cranial fossa Suprasellar	brain;cranial fossa	
Azenta WGS set #1 	Brain, occipital lobe	occipital lobe	
Azenta WGS set #3	brain, occipital lobe-left	occipital lobe	Left
Azenta WGS Set #5	Brain, occipital lobe-left	occipital lobe	Left
Azenta WGS set #3	brain, occipital lobe-right	occipital lobe	Right
Azenta WGS Set #5	Brain, occipital lobe-right	occipital lobe	Right
Azenta WGS set #3	brain, parietal lobe	parietal lobe	
Azenta WGS Set #5	Brain, parietal lobe	parietal lobe	
Azenta WGS set #3	brain, parietal lobe-left	parietal lobe	Left
Azenta WGS Set #5	Brain, parietal lobe-left	parietal lobe	Left
Azenta WGS set #3	brain, parietal lobe-right	parietal lobe	Right
Azenta WGS Set #5	Brain, parietal lobe-right	parietal lobe	Right
Azenta WGS set #3	brain, posterior fossa	posterior cranial fossa	
Azenta WGS Set #5	Brain, posterior fossa	posterior cranial fossa	
Azenta WGS set #1 	Brain, posterior fossa-anterior	posterior cranial fossa	
Azenta WGS set #1 	Brain, posterior fossa-left	posterior cranial fossa	Left
Azenta WGS set #1 	Brain, posterior fossa-midline	posterior cranial fossa	Midline
Azenta WGS set #1 	Brain, posterior fossa-midline	posterior cranial fossa	Midline
Azenta WGS set #1 	Brain, posterior fossa-right	posterior cranial fossa	Right
Azenta WGS set #1 	Brain, temporal lobe	temporal lobe	
Azenta WGS Set #5	Brain, temporal lobe	temporal lobe	
Azenta WGS set #3	brain, temporal lobe-left	temporal lobe	Left
Azenta WGS Set #5	Brain, temporal lobe-left	temporal lobe	Left
Azenta WGS Set #4	Brain, temporal lobe-left anterior	temporal lobe	Left
Azenta WGS Set #5	Brain, temporal lobe-left anterior	temporal lobe	Left anterior
Azenta WGS Set #4	Brain, temporal lobe-left medial	temporal lobe	Left
Azenta WGS set #3	brain, temporal lobe-posterior	temporal lobe	
Azenta WGS set #3	brain, temporal lobe-right	temporal lobe	Right
Azenta WGS Set #5	Brain, temporal lobe-right	temporal lobe	Right
Azenta WGS Set #5	Brain, temporal lobe-right lower	temporal lobe	Right
Azenta WGS set #3	brain, thalamus	thalamic complex	
